transit_no	expected_time	residual
1	1766.2693899862077	-1.7174349858396454
2	1767.375514236147	0.5016607480501989
3	1768.4805541033602	1.1592453564298921
4	1769.5854720140135	1.6412125184797333
5	1770.690419492111	2.16575680024107
6	1771.7947642916456	1.8224439513869584
7	1772.900303203145	3.198652331957419
8	1774.0043899941647	2.4838072215788998
12	1778.4203998120822	-0.8613516919649555
13	1779.5257472266787	0.23910114832688123
14	1780.631132766577	1.3944544230253086
15	1781.7351607480343	0.5949235433581634
16	1782.8390299281168	-0.4332813165456173
17	1783.9432319860061	-0.9821421345986892
18	1785.0482413953007	-0.36841692912275903
19	1786.1525477585774	-0.7670779893669533
20	1787.2572170643832	-0.6431018076546025
24	1791.6732935232008	-3.8922978251139284
25	1792.7782209030042	-3.3966950867761625
26	1793.8797929092902	-7.732830213608395
27	1794.9881162739728	-2.3470092494608252
28	1796.0928791385847	-2.088308386883
29	1797.1981263930631	-1.1320861166677787
30	1798.3026963375055	-1.151190298369329
31	1799.4059509018955	-3.064441755450389
32	1800.5123777822103	-0.40955828088044655
35	1803.82539790496	-1.4600540572428145
36	1804.9314557586622	0.6634310951994848
37	1806.0384829399413	4.182747958475375
38	1807.1413603522194	1.726397460224689
39	1808.2458829127688	1.6390604726984748
40	1809.350299934706	1.3997478836608934
41	1810.4551583437249	1.7960326920365333
42	1811.559915745217	2.046866662094544
43	1812.662854153307	-0.3216498669280554
44	1813.7705172503684	4.113385722630483
